Format,Vertices,Faces,Edges,Volume,Surface Area,Watertight
STL,1412,2832,8496,30808.068993298704,7510.923290274324,False
OBJ,1412,2832,8496,30808.068993630237,7510.923290423292,False
GLTF,1412,2832,8496,30808.068993298704,7510.923290274324,False
